session,mp_name,constituency,days_attended
1,atnanapatil,jalgaon,5
1,raosahebdanvepatil,jalna,4
1,devjimansingrampatel,jalore,6
1,bijoychandrabarman,jalpaiguri,5
1,jugalkishoresharma,jammu,6
1,poonambenhematbhaimaadam,jamnagar,6
1,bidyutbaranmahato,jamshedpur,6
1,chiragpaswan,jamui,5
1,abhijitmukherjee,jangipur,6
1,kamladevipatle,janjgir-champa,6
1,krishnpratapsingh,jaunpur,6
1,pratimamondal,jaynagar,6
1,dushyantsingh,jhalawar-baran,4
1,birendrakumarchoudhary,jhanjharpur,6
1,umasaren,jhargram,6
1,santoshahlawat,jhunjhunu,6
1,gajendrasinghshekhawat,jodhpur,6
1,kamakhyaprasadtasa,jorhat,6
1,rajeshbhainaranbhaichudasama,junagadh,5
1,vinodchavda,kachchh,6
1,ysavinashreddy,kadapa,4
1,hukumsingh,kairana,6
1,brijbhushansharansingh,kaiserganj,6
1,narasimhamthota,kakinada,6
1,arkakesharideo,kalahandi,6
1,gauravgogoi,kaliabor,6
1,kkamaraj,kallakurichi,6
1,kanteknathshinde,kalyan,5
1,kmaragatham,kancheepuram,6
1,shantakumar,kangra,6
1,vikramusendi,kanker,6
1,dimpleyadav,kannauj,5
1,ponradhakrishnan,kanniyakumari,6
1,pksreemathiteacher,kannur,6
1,murlimanoharjoshi,kanpur,6
1,sisiradhikari,kanthi,3
1,upendrakushwaha,karakat,6
1,manojrajoria,karauli-dholpur,6
1,radheshyambiswas,karimganj,5
1,bvinodkumar,karimnagar,5
1,ashwinikumar,karnal,5
1,mthambidurai,karur,6
1,pkarunakaran,kasaragod,6
1,tariqanwar,katihar,5
1,vinodkumarsonkar,kaushambi,6
1,"baijyayant""jay""panda",kendrapara,5
1,sakuntalalaguri,keonjhar,6
1,ranjitsinghbrahmpura,khadoorsahib,6
1,choudharymehboobalikaiser,khagaria,6
1,nagendrasingh,khajuraho,3
1,psrinivasareddy,khammam,6
1,nandkumarsinghchauhan,khandwa,6
1,subhashpatel,khargone,6
1,devusinhjesingbhaichauhan,kheda,6
1,ajaymisrateni,kheri,6
1,kariyamunda,khunti,4
1,mohammadasrarulhaque,kishanganj,6
1,ravindrakumarray,kodarma,6
1,nabakumarsaraniahira,kokrajhar,6
1,khmuniyappa,kolar,5
1,dhananjaymahadik,kolhapur,6
1,subratabakshi,kolkatadakshin,3
